,title,price,year,link,style,age
24,baby taylor koa bte acoustic/electric,500,,https://charlottesville.craigslist.org/msg/d/staunton-baby-taylor-koa-bte-acoustic/7784445262.html,taylor,
25,leather jacket - xl - rock on!!!,40,,https://charlottesville.craigslist.org/msg/d/staunton-leather-jacket-xl-rock-on/7784073110.html,missing,
26,"epiphone ""inspired by"" les paul custom",1050,,https://charlottesville.craigslist.org/msg/d/staunton-epiphone-inspired-by-les-paul/7782588710.html,epiphone,
27,pearl roadshow 5-piece complete drum set with cymbals,400,,https://charlottesville.craigslist.org/msg/d/charlottesville-pearl-roadshow-piece/7788780205.html,missing,
28,boss rc-2 loop station in box,50,,https://charlottesville.craigslist.org/msg/d/charlottesville-boss-rc-loop-station-in/7788737466.html,missing,
29,martin 2005 d35 sunburst acoustic,2800,2005.0,https://charlottesville.craigslist.org/msg/d/charlottesville-martin-2005-d35/7780483373.html,martin,20.0
30,behringer dd600 digital delay,20,,https://charlottesville.craigslist.org/msg/d/charlottesville-behringer-dd600-digital/7788735753.html,missing,
31,"5f1 tweed champ, 12"" cabinet, celestion speaker",750,,https://charlottesville.craigslist.org/msg/d/charlottesville-5f1-tweed-champ-12/7788731232.html,missing,
32,ehx holy grail nano,65,,https://charlottesville.craigslist.org/msg/d/charlottesville-ehx-holy-grail-nano/7788731195.html,missing,
33,1980 mxr m102 dyna comp with ross mod and added 9v jack,110,1980.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1980-mxr-m102-dyna-comp/7788731162.html,missing,45.0
34,guitar pedal repair and restoration,0,,https://charlottesville.craigslist.org/msg/d/charlottesville-guitar-pedal-repair-and/7788731110.html,guitar,
35,1979 mu-tron iii envelope filter,895,1979.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1979-mu-tron-iii/7788729541.html,missing,46.0
36,early 70's univox u-1095 superfuzz,895,,https://charlottesville.craigslist.org/msg/d/charlottesville-early-70s-univox-1095/7788729641.html,missing,
37,"1978 mxr distortion +, script box, with 9v jack and pete's tweaks",100,1978.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1978-mxr-distortion-box/7788729611.html,missing,47.0
38,christmas stocking with guitar or french horn new,8,,https://charlottesville.craigslist.org/msg/d/earlysville-christmas-stocking-with/7785828349.html,guitar,
39,gretsch g5410t electromatic “rat rod” hollowbody electric guitar,550,,https://charlottesville.craigslist.org/msg/d/crozet-gretsch-g5410t-electromatic-rat/7788596850.html,guitar,
40,awesome! hughes & kettner era1 250w acoustic guitar amp w softcover,650,,https://charlottesville.craigslist.org/msg/d/crozet-awesome-hughes-kettner-era1-250w/7788597572.html,guitar,
41,vintage yamaha fg-340 acoustic electric guitar,300,,https://charlottesville.craigslist.org/msg/d/crozet-vintage-yamaha-fg-340-acoustic/7788597326.html,yamaha,
42,blackstar id:core stereo100 guitar amp w ftswitch for built in looper,225,,https://charlottesville.craigslist.org/msg/d/crozet-blackstar-idcore-stereo100/7788597094.html,guitar,
43,upright bass stands,15,,https://charlottesville.craigslist.org/msg/d/louisa-upright-bass-stands/7788541605.html,missing,
